violation_code,violation_description,violation_key
DAL_166960,Violation Description - 1,2651
DAL_177708,Violation Description - 1,2652
DAL_177714,Violation Description - 1,2653
DAL_187400,Violation Description - 1,2654
DAL_191650,Violation Description - 1,2655
DAL_199649,Violation Description - 1,2656
DAL_204291,Violation Description - 1,2657
DAL_205565,Violation Description - 1,2658
DAL_211583,Violation Description - 1,2659
DAL_217892,Violation Description - 1,2660
DAL_222468,Violation Description - 1,2661
DAL_227927,Violation Description - 1,2662
DAL_232556,Violation Description - 1,2663
DAL_248852,Violation Description - 1,2664
DAL_253754,Violation Description - 1,2665
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments:  6-301.14 HANDWASHING SIGNAGE MUST BE POSTED AT ALL HANDWASHING.ALSO MUST RELOCATE PAPER TOWELS INSTALLED ABOVE SANITIZER COMPARTMENT OF THREE COMPARTMENT SINK AT BAKERY AREA. |,2666
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT HANDSINK BEHIND THE BAR AND HANDSINKS INSIDE (4) WASHROOMS. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: INSTRUCTED TO PROVIDE,2667
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASH CLEANSER AT HANDWASH SINK IN MAIN PREP AREA WHERE MULTIPLE FOOD HANDLERS ACTIVELY WORKING. INSTD TO PROVIDE HANDWASH CLEANSER AT ALL TIMES. CITATION ISSUED 7-38-030(C,2668
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT HAND WASHING SINK IN PREP AREA. INSTRUCTED MANAGER TO PROVIDE.  | 22. PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED TCS FOODS HELD AT,2669
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HOT RUNNING WATER AT HANDWASHING SINKS IN THE GIRLS AND BOYS' TOILET ROOMS ON THE SECOND AND THIRD FLOOR. TEMPERATURE OF WATER RANGED 61.0F-64.0F AT THE TIME OF INSPE,2670
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED SOAP AND PAPER TOWEL DISPENSER LOCATED ABOVE THE THREE COMPARTMENT SINK AT DELI AREA. INSTRUCTED MANAGER TO REMOVE. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AN,2671
12,FOOD RECEIVED AT PROPER TEMPERATURE - Comments: OBSERVED HOT DOGS RECEIVED AT IMPROPER TEMPERATURE 120.2F AND TRANSPORTED IN CAMBRIOS FROM CORLISS HIGH SCHOOL. ALL TCS FOOD THAT IS COOKED AND RECEIVED HOT SHALL BE AT A TEMPERATURE OF 135F OR ABOVE. I,2672
16,FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED DISH MACHINE NOT VERIFIABLY ABLE TO REACH PROPER TEMPERATURE. THE HIGHEST SURFACE TEMPERATURE REACHED IS 114 F. THE HOT WATER DISH MACHINE MUST REACH A SURFACE TEMPERATURE OF 160 F AND A,2673
16,FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED LOW-TEMPERATURE DISHWASHING MACHINE IN USE NOT PROPERLY SANITIZING. SANITIZING STRENGTH OF THE SANITIZER (CHLORINE) AT THE INSPECTION TIME WAS 0 PPM. EQUIPMENT MUST BE PROPERLY SANITIZED,2674
2,"CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: FACILITY DID NOT PROVIDE A VALID CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE FOR FUTURE EMPLOYEES WORKING ON SITE. INFORMED OWNER THAT ONCE OPENED, A CERTIFIED MANAGER WITH A CURR",2675
2,"CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO FOOD SERVICE MANAGER ON SITE WHILE TCS FOODS (CHICKEN, SHRIMP, EGG FRIED RICE, ETC) IS BEING PREPARED AND SERVED. INSTRUCTED TO PROVIDE AND MAINTAIN. PRIORITY FOUNDATIO",2676
2,"CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO CITY OF CHICAGO FOOD SERVICE MANAGERS CERTIFICATES ON PREMISES AS REQUIRED; MUST OBTAIN.  PRIORITY FOUNDATION VIOLATION, CITATION ISSUED 7-42-012.    OWNERS HAVE SERV SAFE CERTIFICATES",2677
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER PRESENT WHILE TCS FOODS (CHICKEN AT 174F) WERE BEING SERVED.  MANAGEMENT INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL,2678
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER PRESENT WHILE TCS FOODS ARE BEING PREPARED AND SERVED.  MANAGEMENT INSTRUCTED THAT A CERTIFIED FOOD MANAGER MUST BE PRESENT AT ALL TIMES,2679
2,"CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO FOOD SANITATION MANAGER ON SITE WHILE TCS FOODS ARE BEING PREPPED (SUCH AS CHICKEN, PORK). INSTRUCTED MUST HAVE A CITY OF CHICAGO FOOD SANITATION MANAGER ON SI",2680
36,"THERMOMETERS PROVIDED & ACCURATE - Comments: 4-204.112(B): OBSERVED NO AMBIENT AIR THERMOMETERS INSIDE OF THE COLD HOLDING UNITS ON SITE. INSTRUCTED TO PROVIDE AND MAINTAIN. | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15: OBSERVED",2681
36,"THERMOMETERS PROVIDED & ACCURATE - Comments: NO THERMOMETER INSIDE STAND UP 1-DOOR COCA COLA COOLER. MUST PROVIDE A WORKING THERMOMETER INSIDE SAID COOLER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO COVERED TRAS",2682
37,"FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CONTAINERS WITH COMMON FOOD NAMES; SEASONINGS, FLOUR, ETC., WHEN FOOD HAS BEEN REMOVED FROM ORIGINAL PACKAGING, INSTRUCTING TO MAINTAIN.  | 47. FOOD & NON-FOOD CONTACT SURF",2683
37,FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NOTED BULK FOOD ITEMS STORED INSIDE CONTAINERS AT THE FOOD PREP AREA NOT PROPERLY LABELED. INSTRUCTED MANAGEMENT THAT ALL BULK AND WORKING FOOD INGREDIENT CONTAINERS MUST BE LABELED WITH CONTENTS,2684
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15	 OBSERVED DAMAGED BOTTOM ON EXTERIOR DOOR LEADING TO SECOND FLOOR FROM BASEMENT. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4",2685
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED EVIDENCE OF PEST ACTIVITY ON THE PREMISE DURING THE TIME OF INSPECTION. NOTED APPROXIMATELY 40 SMALL RODENT DROPPINGS IN THE FOLLOWING AREAS THROUGHOUT PREP... INSIDE PANTRY ON FLOOR UNDER",2686
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED INSECT TRAPS HANGING FROM CEILING. INSTRUCTED MANAGER TO ENSURE ONLY A LICENSED PEST CONTROL COMPANY INSTALLS INSECT TRAPS | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments",2687
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: OBSERVED NO SPLASHGUARD BETWEEN EXPOSED PREP HANDSINK AND DRAINBOARD OF HIGH TEMPERATURE DISH MACHINE. INSTRUCTED TO INSTALL A WASHABLE SPLASHGUARD TO AVOID CONTAMINATION",2688
40,"PERSONAL CLEANLINESS - Comments: FOUND AN EMPLOYEE IN THE FOOD PREP AREA NOT WEARING A HAIR RESTRAINT. INSTRUCTED MANAGER TO HAVE ALL EMPLOYEES ENTERING THE KITCHEN TO WEAR HAIR RESTRAINT. MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINE",2689
41,WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED WIPING CLOTHS STORED ON TOP OF 3-COMPARTMENT SINK. MUST PROPERLY STORE WIPING CLOTHS IN A SANITIZING SOLUTION WHEN NOT IN USE. | 45. SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,2690
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  4-101.17 OBSERVED THE USE OF RAW WOOD BEING USED AS SHELVING UNITS IN THE REAR BEVERAGE/ DISHWASHING AREA. INSTRUCTED TO PAINT SAID SURFACES WITH FOOD GRAD",2691
47,"""FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19	 OBSERVED MILK CRATES BEING USED AS SHELVING THROUGHOUT THE PREP AND STORAGE AREAS. MUST REMOVE AND PROVIDE SHELVING 6"""" OFF THE FLOOR AND PROVIDE F""",2692
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-101.19 OBSERVED BROKEN AND STAINED CEILING TILES IN THE PREPARED FOODS PREP AREA. INSTRUCTED TO REPLACE AND/OR CLEAN. | 49. NON-FOOD/FOOD CONTACT SURFACES",2693
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: 4-501.11 : MUST REPAIR OR REPLACE DAMAGED EXTERIOR WALK IN COOLER DOOR. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) : MUST CLEAN DUST",2694
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: LARGE CAN OPENER IN NEED OF CLEANING OR REPLACE THE BLADE. INSTRUCTED TO CORRECT AND MAINTAIN.  | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTER",2695
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUSTED CARTS IN PREP AND COOLER AREAS. INSTRUCTED MANAGER TO REPLACE OR REPAINT RUSTED CARTS;  OBSERVED ALUMINUM FOIL WRAPPED AROUND PIPES IN KITCH",2696
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED UNUSED COOLER LOCATED IN CLASSROOM AT IMPROPER AMBIENT TEMPERATURE OF 52.1F. INSTRUCTED TO MAINTAIN ALL COOLERS AT OR BELOW 41F AT ALL TIMES.",2697
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: PLASTIC HANDLES OF RICE COOKER/HOT HOLDING UNITS BROKEN,REPAIRED WITH DUCT TAPE  INSTRUCTED TO REPLACE BROKEN HANDLES. | 47. FOOD & NON-FOOD CONTACT SURFACE",2698
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: FOUND NO IRREVERSIBLE REGISTERING TEMPERATURE INDICATORS WERE PROVIDED TO MEASURE THE SURFACE TEMPERATURE OF UTENSILS INSIDE OF THE HIGH TEMPERATURE DISH MACHINE AND/OR HIG",2699
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED GREASE TRAP IN POOR REPAIR AND LEAKING AT THE BASE ONTO FLOOR IN REAR DISHWASHING/STORAGE AREA OF LAVAZZA. INSTRUCTED TO REPAIR AND MAINTAIN IN GOOD CONDITION. PRI",2700
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO CHEMICAL TEST KIT AVAILABLE DURING INSPECTION. INSTRUCTED MANAGER TO PROVIDE TEST KIT FOR PROPER CONCENTRATION IN SANITIZING SOLUTIONS. PRIORITY FOUNDATION 7-38",2701
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13  CLEAN THE INTERIOR OF THE 3-DOOR TACO PREP COOLER, STOVE, AND PIZZA OVEN IN THE PIZZA PREP AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12  CLEAN THE FLOOR",2702
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE BOTTOM OF BOTH FRYERS TO REMOVE GREASE AND FOOD PARTICLES. | 60. PREVIOUS CORE VIOLATION CORRECTED - Comments: PREVIOUS CORE VIOLATIONS NOT CORRECTED FROM MARCH 15, 2021 AS REQU",2703
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INTERIOR OF LOW TEMP DISHMACHINE IN NEEDED OF CLEANING, DELIME UNIT. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: GRIMES ON FLOOR BETWEEN COOKING EQUIPMENT AND WALL.UNDER THE THR",2704
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED A BLACK, MOLD-LIKE BUILD-UP ON THE DISH MACHINE TRAYS. ALSO OBSERVED DIRT AND OLD FOOD DEBRIS BUILD UP ON THE METAL SHELVING INSIDE THE WALK-IN COOLER. MUST CLEAN SAID ITEMS AND MAINTAIN THEM.",2705
51,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: : 5-205.15-- MUST NOT USE PLASTIC WRAPPING AS A SPLASH GUARD ON PIPING INTO THE FLOOR DRAIN AT THE THREE COMPARTMENT SINK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: : 6",2706
51,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK AT THE FAUCET OF THE HAND SINK IN THE DISH AREA. INSTRUCTED TO REPAIR.,2707
53,"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MISSING COVER FOR RECEPTACLE IN UNISEX STAFF & GIRL STUDENTS TOILET ROOM. INSTD TO PROVIDE AND MAINTAIN",2708
54,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: FOUND OUTSIDE DUMPSTER AREAS NOT CLEAN.GREASE SPILLAGE. PRIORITY FOUNDATION. CITATION ISSUED.7-38-020B. MUST CLEAN AND MAINTAIN.,2709
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN FLOOR DRAIN IN PASTRY PREP AREA.",2710
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE CLUTTER AROUND THE REAR EXIT DOOR LEADING TO THE GARBAGE DUMPSTERS. INSTRUCTED TO REMOVE OR ORGANIZE CLUTTER AND MAINTAIN.",2711
56,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED AN ACCUMULATION OF DUST AROUND THE FILTERS ABOVE THE GRIDDLE AREA. INSTRUCTED MANAGER TO CLEAN.,2712
9,NO BARE HAND CONTACT WITH RTE FOOD OR A PRE-APPROVED ALTERNATIVE PROCEDURE PROPERLY ALLOWED - Comments: OBSERVED FOOD HANDLER SLICING READY TO EAT TOMATOES FOR TOPPINGS WITH BARE HANDS. THERE IS NO BARE HAND CONTACT WITH READY TO EAT FOOD. MUST WEAR G,2713
DAL_052462,Violation Description - 1,2714
DAL_057061,Violation Description - 1,2715
DAL_059545,Violation Description - 1,2716
DAL_061793,Violation Description - 1,2717
DAL_070563,Violation Description - 1,2718
DAL_084441,Violation Description - 1,2719
DAL_084835,Violation Description - 1,2720
DAL_088087,Violation Description - 1,2721
DAL_098443,Violation Description - 1,2722
DAL_109427,Violation Description - 1,2723
DAL_110245,Violation Description - 1,2724
DAL_113249,Violation Description - 1,2725
DAL_117490,Violation Description - 1,2726
DAL_123410,Violation Description - 1,2727
DAL_123507,Violation Description - 1,2728
DAL_128041,Violation Description - 1,2729
DAL_133174,Violation Description - 1,2730
DAL_133340,Violation Description - 1,2731
DAL_135712,Violation Description - 1,2732
DAL_135854,Violation Description - 1,2733
DAL_136112,Violation Description - 1,2734
DAL_139900,Violation Description - 1,2735
DAL_152711,Violation Description - 1,2736
DAL_155938,Violation Description - 1,2737
DAL_156680,Violation Description - 1,2738
DAL_163860,Violation Description - 1,2739
DAL_165833,Violation Description - 1,2740
DAL_173888,Violation Description - 1,2741
DAL_184685,Violation Description - 1,2742
DAL_205123,Violation Description - 1,2743
DAL_206322,Violation Description - 1,2744
DAL_207031,Violation Description - 1,2745
DAL_224376,Violation Description - 1,2746
DAL_228359,Violation Description - 1,2747
DAL_233515,Violation Description - 1,2748
DAL_233661,Violation Description - 1,2749
DAL_237219,Violation Description - 1,2750
DAL_240188,Violation Description - 1,2751
DAL_240690,Violation Description - 1,2752
DAL_253560,Violation Description - 1,2753
1,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES - Comments: OBSERVED NO PERSON IN CHARGE ON SITE 2-102.14 | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON",2754
1,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES | 2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFED FOOD MANAGER ON SITE DURING TIME OF INSPECTION WITH VALID CERTIFICATE WHILE",2755
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: 6-301.14 OBSERVED NO HAND WASHING SIGNS LOCATED AT THE HAND WASHING SINKS IN THE FOOD PREP AREAS AND IN THE TOILET ROOMS. INSTRUCTED TO PROVIDE. | 25. CONSUMER ADVISORY PROVIDED,2756
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED MANAGEMENT TO PROVIDE A HANDWASHING SINK ACCESSIBLE TO THE DISHWASHING 3-COMPARTMENT SINK/PREP AREA WITH HOT AND COLD RUNNING WATER, SUPPLIED WITH SOAP AND HAND PAPERT",2757
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO INSTALL HANDSINK WITH HOT AND COLD RUNNING WATER EQUIPPED WITH HAND SOAP AND HAND DRYING DEVICE ACCESSIBLE TO  3 COMPARTMENT BAR SINK IN REAR SIDE AREA. PRIORITY FO,2758
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO HANDWASH CLEANSER AT FRONT PREP AREA HANDWASH SINK. INSTD TO PROVIDE AT ALL TIMES. CITATION ISSUED 7-38-030(C) PRIORITY FOUNDATION | 10. ADEQUATE HANDWASHING SINKS PROPERLY SU,2759
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO SOAP PROVIDED AT THE HANDWASHING SINK IN THE DISHWASHING AREA. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION VIOLATION. CITATION ISSUED 7-38-030(C). MANAGER PROVIDED HANDWASHING,2760
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED MISSING HANDWASH SIGNAGE AT FRONT BAR AREA.  INSTRUCTED TO PROVIDE AND MAINTAIN. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED N,2761
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGN OR POSTERS NEAR HAND WASHING SINKS IN THE GIRL'S WASHROOM LOCATED IN THE BASEMENT AND IN THE HAND WASHING SINK IN THE EMPLOYEE WASHROOM. MUST PROVID,2762
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT THE EXPOSED HAND WASHING SINK IN THE EMPLOYEE WASHROOM AND CUSTOMERS WASHROOMS. MUST PROVIDE AND MAINTAIN,2763
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS OR POSTERS NEAR HAND WASHING SINKS IN CUSTOMERS WASHROOMS. MUST PROVIDE | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST PROPERLY S,2764
10,"ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN PLACE IN PREP AREA. INSTRUCTED TO PROVIDE AND MAINTAIN HANDWASHING SINK UNDER CITYS PRESSURE WITH HOT RUNNING WATER @ AT LEAST 100F, SOAP AND PAPE",2765
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SINK IN THE REAR CHICKEN PREP ROOM WHERE CHICKEN IS PACKAGED.  INSTRUCTED THEY MUST INSTALL A HANDWASHING SINK IN THE CHICKEN PREP AREA AND MAINTAIN IN GO,2766
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED THE HANDWASHING SINK IN THE FOOD PREP AREA BEHIND THE SERVICE COUNTER HOT WATER NOT ON. THE MANAGER TURNED THE HOT WATER ON AND OFF AT THE BOTTOM OF THE SINK. INSTRUCTED,2767
16,"FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: MUST DETAIL CLEAN INTERIOR PANEL OF ICE MACHINE, AND DE-LIME EXTERIOR SURFACE OF ICE MACHINE, AND MAINTAIN.  | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: MUST LABEL FOOD STORAGE CO",2768
16,FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: OBSERVED A SLIGHT PINK BUILD-UP INSIDE THE ICE MACHINE UPPER PORTION AND ICE CHUTE. MUST CLEAN THE INTERIOR OF THE ICE MACHINE AND MAINTAIN IT. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments:,2769
16,"FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: Violation Codes: 4-501.114 (A, B, C, D, E, F: 1 & 2) Inspector Comments: OBSERVED LOW TEMPERATURE DISH MACHINE NOT IN USE SANITIZING AT 0.0 PPM.INSTRUCTED TO USE 3- COMPARTMENT SINK TO WASH,RINSE",2770
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NOTED FACILITY DID NOT PROVIDE A VALID CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE. INFORMED A CERTIFIED MANAGER WITH A CURRENT CITY OF CHICAGO CERTIFICATE MUST BE ON PREMISES AT,2771
22,PROPER COLD HOLDING TEMPERATURES - Comments: OBSERVED IMPROPER TEMPERATURES OF TCS READY TO EAT FOODS SUCH AS MILK RANGING FROM 48.2F-53.4F INSIDE OF 2- DOOR REFRIGERATOR.PRODUCT WAS DISCARDED BY MANAGER.MUST HAVE COLD HOLDING FOODS AT 41.0F OR BELOW,2772
29,COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP - Comments: OBSERVED HOUSE MADE KIMCHI ON SITE WITHOUT VARIANCE. APPROXIMATELY 10LBS OF KIMCHI TAGGED AND HELD FOR INSPECTION. INSTRUCTED TO CEASE PRODUCTION AND SALE OF HOUSE MADE KIMCHI AND REQUEST,2773
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: NO EMPLOYEE HEALTH POLICY ON SITE. EMPLOYEES MUST READ AND SIGN EMPLOYEE HEALTH POLICY AND KEEP ON PREMISES AT ALL TIMES. PRIORITY FOUNDATION. 7-",2774
36,THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED A FEW COOLERS WITHOUT THERMOMETERS. MUST PROVIDE AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED ICE BUILD UP INSIDE THE REAR REACH IN UPRIGHT FREEZER. MUST DEFROST A,2775
37,FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED A FEW LARGE BULK STORAGE CONTAINERS NOT LABELED WITH THE PRODUCT. MUST LABEL AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR WALLS AND FAN COV,2776
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED SEVERAL INSECT CARCASSES THROUGHOUT THE BASEMENT AREA. INSTRUCTED MANAGER TO REMOVE INSECT CARCASSES. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED CALCIUM BUILDUP ON THE",2777
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: STILL OBSERVED EVIDENCE OF RODENTS ON PREMISES. OBSERVED 10 DROPPINGS UNDER ICE CREAM DISPLAY FREEZER AT FRONT AND ONE LIVE MOUSE AT FRONT OF FACILITY AT TIME OF INSPECTION. INSTRUCTED MANAGER TO CL",2778
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: 3-307.11 OBSERVED THE ICE SCOOP IMPROPERLY STORED ON THE ICE INSIDE THE ICE MACHINE LOCATED BEHIND THE FRONT SERVICE COUNTER/FOOD PREP AREA. INSTRUCTED TO PROPERLY STORE T",2779
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: MUST INSTALL A SPLASH GUARD ON THE LEFT SIDE OF THE ONE COMPARTMENT DUMP/SLOP SINK BETWEEN THE SINKS AND STORED CLEAN GLASSWARE.",2780
41,"WIPING CLOTHS: PROPERLY USED & STORED - Comments: OBSERVED SOILED WIPING CLOTHS STORED ON PREP TABLES IN MEAT DEPARTMENT AREA. INSTRUCTED MANAGER TO STORE IN SANITIZING SOLUTION BETWEEN USES.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERL",2781
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-602.13 OBSERVED ALL PREP TABLE SHELVING WITH DRIED FLOOR DEBRIS ON SURFACES. INSTRUCTED TO REMOVE, CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 NO",2782
49,"NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN SPILLAGE FROM SODA CADDY.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  MUST REMOVE TAPE WRAPPED AROUND FLOOR DRAIN PIPES OF HAND SINK & 3- COMP SINK,OVERHEAD TRIM AN",2783
